Name,Description,Price1,Price2,Image
Elvive,Acondicionador Dream Long Liss,$3.290,$ Precio x L : $8.225,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1023510a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Elvive,Shampoo Dream Long Liss,$3.290,$ Precio x L : $8.225,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1023508a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cocomi Bio,Alimento en Polvo de Coco Orgánico,$3.490,$ Precio x Kg : $23.267,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/995254a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Johnson's Baby,SuperPack Perfumeria Bebé,$3.490,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000114a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Nivea,Pack Jabón Líquido Soft + Crema de Manos Q10,$3.690,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000096a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Organic Shop,Máscara Capilar con Extractos Orgánicos Coco y Shea,$3.790,$ Precio x L : $15.160,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/994062a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Organic Shop,Máscara Capilar con Extractos Orgánicos Palta y Miel,$3.790,$ Precio x L : $15.160,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/994058a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Organic Shop,Máscara Capilar con Extractos Orgánicos Argán y Amla,$3.790,$ Precio x L : $15.160,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/994060a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Chef + Malloa,Superpack Aceite Maravilla + 6 Salsas de Tomate,$3.840,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000099a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Malloa + Iansa + Lider,Superpack Salsa de Tomate + Azúcar + Atún,$3.890,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000103a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
